date,avg_sentiment_score,model_type
2017-04-18,0.016194002016129035,FinBERT+VADER
2017-04-19,0.010701644736842106,FinBERT+VADER
2017-04-20,0.02129768668831169,FinBERT+VADER
2017-04-21,0.029939055429864254,FinBERT+VADER
2017-04-22,0.00868125,FinBERT+VADER
2017-04-23,0.16861513157894736,FinBERT+VADER
2017-04-24,0.0028213802083333333,FinBERT+VADER
2017-04-25,0.02376347222222222,FinBERT+VADER
2017-04-26,0.018934780534351145,FinBERT+VADER
2017-04-27,0.009101871468926553,FinBERT+VADER
2017-04-28,0.0449135,FinBERT+VADER
2017-04-29,0.0634841911764706,FinBERT+VADER
2017-04-30,0.1251966911764706,FinBERT+VADER
2017-05-01,0.005973154008438819,FinBERT+VADER
2017-05-02,-0.004843256578947368,FinBERT+VADER
2017-05-03,0.016204479768786126,FinBERT+VADER
2017-05-04,0.00320519801980198,FinBERT+VADER
2017-05-05,-0.0033585267857142854,FinBERT+VADER
2017-05-06,0.06071093749999999,FinBERT+VADER
2017-05-07,-0.0013718055555555556,FinBERT+VADER
2017-05-08,0.00654375,FinBERT+VADER
2017-05-09,0.020537574268738576,FinBERT+VADER
2017-05-10,0.018950286079698436,FinBERT+VADER
2017-05-11,0.022371597300337456,FinBERT+VADER
2017-05-12,0.025882642133956385,FinBERT+VADER
2017-05-13,0.046642540322580646,FinBERT+VADER
2017-05-14,0.04929375,FinBERT+VADER
2017-05-15,0.027721319760820047,FinBERT+VADER
2017-05-16,0.026141230964467004,FinBERT+VADER
2017-05-17,0.003863997781065089,FinBERT+VADER
2017-05-18,0.02309986147327249,FinBERT+VADER
2017-05-19,0.027878487168874175,FinBERT+VADER
2017-05-20,0.012241163793103449,FinBERT+VADER
2017-05-21,0.00365125,FinBERT+VADER
2017-05-22,0.02693630849220104,FinBERT+VADER
2017-05-23,0.005389866780045352,FinBERT+VADER
2017-05-24,0.022732789955604883,FinBERT+VADER
2017-05-25,0.008624300541516246,FinBERT+VADER
2017-05-26,0.028596363467261902,FinBERT+VADER
2017-05-27,0.044831249999999996,FinBERT+VADER
2017-05-28,0.043243750000000004,FinBERT+VADER
2017-05-29,0.0042392857142857145,FinBERT+VADER
2017-05-30,0.018262977642276423,FinBERT+VADER
2017-05-31,0.010381743680884676,FinBERT+VADER
2017-06-01,0.013883338036117382,FinBERT+VADER
2017-06-02,0.006339801646706587,FinBERT+VADER
2017-06-03,0.008022916666666668,FinBERT+VADER
2017-06-04,0.0019136718750000004,FinBERT+VADER
2017-06-05,0.02074715625,FinBERT+VADER
2017-06-06,0.019761064990512334,FinBERT+VADER
2017-06-07,0.004169350436681223,FinBERT+VADER
2017-06-08,0.032710850694444446,FinBERT+VADER
2017-06-09,0.013304393706830392,FinBERT+VADER
2017-06-10,0.03732252192982456,FinBERT+VADER
