date,avg_sentiment_score
2018-01-01,0.0
2018-01-02,0.1111111111111111
2018-01-03,0.24615384615384617
2018-01-04,0.2
2018-01-05,0.15789473684210525
2018-01-06,0.2
2018-01-07,0.25
2018-01-08,0.27692307692307694
2018-01-09,0.3333333333333333
2018-01-10,0.2857142857142857
2018-01-11,0.17647058823529413
2018-01-12,0.2692307692307692
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,0.0
2018-01-16,0.23809523809523808
2018-01-17,0.2
2018-01-18,0.14814814814814814
2018-01-19,0.10526315789473684
2018-01-20,0.5
2018-01-21,0.0
2018-01-22,0.05555555555555555
2018-01-23,0.125
2018-01-24,0.35294117647058826
2018-01-25,0.43478260869565216
2018-01-26,0.25806451612903225
2018-01-27,0.2
2018-01-28,0.1
2018-01-29,0.2857142857142857
2018-01-30,0.17391304347826086
2018-01-31,0.4
2018-02-01,0.15384615384615385
2018-02-02,0.1794871794871795
2018-02-03,0.09090909090909091
2018-02-04,0.2857142857142857
2018-02-05,0.0
2018-02-06,0.13725490196078433
2018-02-07,0.15151515151515152
2018-02-08,0.2289156626506024
2018-02-09,0.18012422360248448
2018-02-10,0.26666666666666666
2018-02-11,0.4
2018-02-12,0.07017543859649122
2018-02-13,0.35
2018-02-14,0.3111111111111111
2018-02-15,0.15
2018-02-16,0.14285714285714285
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,0.0
2018-02-20,0.08108108108108109
2018-02-21,0.10416666666666667
2018-02-22,-0.03333333333333333
2018-02-23,0.14285714285714285
2018-02-24,1.0
2018-02-25,0.5
2018-02-26,0.2916666666666667
2018-02-27,0.14285714285714285
2018-02-28,-0.1111111111111111
2018-03-01,0.16666666666666666
2018-03-02,0.16129032258064516
2018-03-03,-1.0
2018-03-04,0.5
2018-03-05,0.13333333333333333
2018-03-06,0.0
2018-03-07,0.3333333333333333
2018-03-08,0.3076923076923077
2018-03-09,0.3684210526315789
2018-03-10,0.6666666666666666
2018-03-11,1.0
2018-03-12,0.40625
2018-03-13,0.06666666666666667
2018-03-14,0.13333333333333333
2018-03-15,0.47058823529411764
2018-03-16,0.32
2018-03-17,0.3333333333333333
2018-03-18,-0.25
2018-03-19,0.21052631578947367
2018-03-20,0.23076923076923078
2018-03-21,0.0
2018-03-22,0.4782608695652174
2018-03-23,0.2682926829268293
2018-03-24,0.4
2018-03-25,0.5
2018-03-26,0.2
2018-03-27,0.14285714285714285
2018-03-28,0.125
2018-03-29,0.2786885245901639
2018-03-30,0.18181818181818182
2018-03-31,0.3333333333333333
2018-04-01,0.8
2018-04-02,0.04
2018-04-03,-0.07142857142857142
2018-04-04,0.16363636363636364
2018-04-05,-0.0375
2018-04-06,-0.0851063829787234
2018-04-07,0.25
2018-04-08,0.6666666666666666
2018-04-09,0.33783783783783783
2018-04-10,0.22058823529411764
2018-04-11,0.23076923076923078
2018-04-12,0.40625
2018-04-13,0.2962962962962963
2018-04-14,-1.0
2018-04-15,-0.16666666666666666
2018-04-16,0.07692307692307693
2018-04-17,0.13636363636363635
2018-04-18,0.14285714285714285
2018-04-19,0.07142857142857142
2018-04-20,0.3
2018-04-21,0.3333333333333333
2018-04-22,0.0
2018-04-23,0.29411764705882354
2018-04-24,0.21739130434782608
2018-04-25,0.3023255813953488
2018-04-26,0.4166666666666667
2018-04-27,0.3333333333333333
2018-04-28,0.0
2018-04-29,0.0
2018-04-30,0.42857142857142855
2018-05-01,0.3
2018-05-02,0.2222222222222222
2018-05-03,0.30357142857142855
2018-05-04,0.2222222222222222
2018-05-05,0.0
2018-05-06,0.25
2018-05-07,0.3584905660377358
2018-05-08,0.3870967741935484
2018-05-09,0.2054794520547945
2018-05-10,0.2251655629139073
2018-05-11,0.2
2018-05-12,0.0
2018-05-13,-0.1111111111111111
2018-05-14,0.43902439024390244
2018-05-15,0.01
2018-05-16,0.14492753623188406
2018-05-17,0.0641025641025641
2018-05-18,0.09259259259259259
2018-05-19,0.07692307692307693
2018-05-20,0.16666666666666666
2018-05-21,0.1864406779661017
2018-05-22,0.08196721311475409
2018-05-23,0.24561403508771928
2018-05-24,0.3548387096774194
2018-05-25,0.2777777777777778
2018-05-26,0.14285714285714285
2018-05-27,0.5
2018-05-28,-0.45454545454545453
2018-05-29,0.0
2018-05-30,0.13333333333333333
2018-05-31,0.2777777777777778
2018-06-01,0.25
2018-06-02,0.5
2018-06-03,0.5
2018-06-04,0.2916666666666667
2018-06-05,0.2631578947368421
2018-06-06,0.10344827586206896
2018-06-07,0.05263157894736842
2018-06-08,0.45454545454545453
2018-06-09,0.25
2018-06-10,1.0
2018-06-11,0.2857142857142857
2018-06-12,-0.047619047619047616
2018-06-13,0.4583333333333333
2018-06-14,0.2916666666666667
2018-06-15,0.16666666666666666
2018-06-16,0.6666666666666666
2018-06-17,0.0
2018-06-18,-0.07692307692307693
2018-06-19,0.08333333333333333
2018-06-20,0.3157894736842105
2018-06-21,-0.1875
2018-06-22,-0.043478260869565216
2018-06-23,0.0
2018-06-24,0.0
2018-06-25,0.16666666666666666
2018-06-26,0.32653061224489793
2018-06-27,0.14285714285714285
2018-06-28,-0.06896551724137931
2018-06-29,-0.03225806451612903
2018-06-30,-0.14285714285714285
2018-07-01,0.0
2018-07-02,0.32
2018-07-03,0.0
2018-07-04,0.16666666666666666
2018-07-05,0.0625
2018-07-06,0.0
2018-07-07,0.2
2018-07-08,1.0
2018-07-09,0.15789473684210525
2018-07-10,0.09090909090909091
2018-07-11,0.0
2018-07-12,0.047619047619047616
2018-07-13,0.375
2018-07-14,0.0
